Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,SummonMyStrength.Api\SummonMyStrength.Api.csproj,File,SummonMyStrength.Api\SummonMyStrength.Api.csproj,,,Microsoft.Extensions.DependencyInjection.Abstractions 8.0.0,,,,,"Microsoft.Extensions.DependencyInjection.Abstractions, 8.0.0  Recommendation:  Remove Microsoft.Extensions.DependencyInjection.Abstractions, and replace with new package Microsoft.Extensions.DependencyInjection.Abstractions 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,SummonMyStrength.Api\SummonMyStrength.Api.csproj,File,SummonMyStrength.Api\SummonMyStrength.Api.csproj,,,Microsoft.Extensions.Http 8.0.0,,,,,"Microsoft.Extensions.Http, 8.0.0  Recommendation:  Remove Microsoft.Extensions.Http, and replace with new package Microsoft.Extensions.Http 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,SummonMyStrength.Api\SummonMyStrength.Api.csproj,File,SummonMyStrength.Api\SummonMyStrength.Api.csproj,,,System.Management 5.0.0,,,,,"System.Management, 5.0.0  Recommendation:  Remove System.Management, and replace with new package System.Management 10.0.5"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,SummonMyStrength.Api\SummonMyStrength.Api.csproj,File,SummonMyStrength.Api\SummonMyStrength.Api.csproj,,,System.Management 5.0.0,,,,,"System.Management, 5.0.0  Recommendation:  This package has been deprecated as part of the .NET Package Deprecation effort. You can learn more about it from https://github.com/dotnet/announcements/issues/217 Remove System.Management, and replace with new package System.Management, 10.0.5"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,SummonMyStrength.Api\SummonMyStrength.Api.csproj,File,SummonMyStrength.Api\SummonMyStrength.Api.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,SummonMyStrength.Api\SummonMyStrength.Api.csproj,File,SummonMyStrength.Api\Setup\ServiceCollectionExtensions.cs,35,8,"M:Microsoft.Extensions.DependencyInjection.HttpClientFactoryServiceCollectionExtensions.AddHttpClient(Microsoft.Extensions.DependencyInjection.IServiceCollection,System.String)",,,,,services              .AddHttpClient(ClientApiHttpClientName)              .ConfigurePrimaryHttpMessageHandler(x => noSslValidationMessageHandler);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,SummonMyStrength.Api\SummonMyStrength.Api.csproj,File,SummonMyStrength.Api\Setup\ServiceCollectionExtensions.cs,30,8,T:System.Uri,,,,,"services              .AddHttpClient(DataDragonHttpClientName)              .ConfigurePrimaryHttpMessageHandler(x => noSslValidationMessageHandler)              .ConfigureHttpClient(x => x.BaseAddress = new(""http://ddragon.leagueoflegends.com/""));"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,SummonMyStrength.Api\SummonMyStrength.Api.csproj,File,SummonMyStrength.Api\Setup\ServiceCollectionExtensions.cs,30,8,M:System.Uri.#ctor(System.String),,,,,"services              .AddHttpClient(DataDragonHttpClientName)              .ConfigurePrimaryHttpMessageHandler(x => noSslValidationMessageHandler)              .ConfigureHttpClient(x => x.BaseAddress = new(""http://ddragon.leagueoflegends.com/""));"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,SummonMyStrength.Api\SummonMyStrength.Api.csproj,File,SummonMyStrength.Api\Setup\ServiceCollectionExtensions.cs,30,8,T:System.Uri,,,,,"services              .AddHttpClient(DataDragonHttpClientName)              .ConfigurePrimaryHttpMessageHandler(x => noSslValidationMessageHandler)              .ConfigureHttpClient(x => x.BaseAddress = new(""http://ddragon.leagueoflegends.com/""));"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,SummonMyStrength.Api\SummonMyStrength.Api.csproj,File,SummonMyStrength.Api\Setup\ServiceCollectionExtensions.cs,30,8,"M:Microsoft.Extensions.DependencyInjection.HttpClientFactoryServiceCollectionExtensions.AddHttpClient(Microsoft.Extensions.DependencyInjection.IServiceCollection,System.String)",,,,,"services              .AddHttpClient(DataDragonHttpClientName)              .ConfigurePrimaryHttpMessageHandler(x => noSslValidationMessageHandler)              .ConfigureHttpClient(x => x.BaseAddress = new(""http://ddragon.leagueoflegends.com/""));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SummonMyStrength.Api\SummonMyStrength.Api.csproj,File,SummonMyStrength.Api\Setup\ServiceCollectionExtensions.cs,24,8,F:System.Security.Authentication.SslProtocols.Tls,,,,,"var noSslValidationMessageHandler = new HttpClientHandler          {              SslProtocols = SslProtocols.Tls12 | SslProtocols.Tls11 | SslProtocols.Tls,              ServerCertificateCustomValidationCallback = (a, b, c, d) => true          };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SummonMyStrength.Api\SummonMyStrength.Api.csproj,File,SummonMyStrength.Api\Setup\ServiceCollectionExtensions.cs,24,8,F:System.Security.Authentication.SslProtocols.Tls11,,,,,"var noSslValidationMessageHandler = new HttpClientHandler          {              SslProtocols = SslProtocols.Tls12 | SslProtocols.Tls11 | SslProtocols.Tls,              ServerCertificateCustomValidationCallback = (a, b, c, d) => true          };"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,SummonMyStrength.Api\SummonMyStrength.Api.csproj,File,SummonMyStrength.Api\Connectors\DataDragonApiConnector.cs,110,12,T:System.Net.Http.HttpContent,,,,,_latestVersion = JsonSerializer.Deserialize<string[]>(await response.Content.ReadAsStringAsync())[0];
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,SummonMyStrength.Api\SummonMyStrength.Api.csproj,File,SummonMyStrength.Api\Connectors\DataDragonApiConnector.cs,83,8,T:System.Uri,,,,,"return $""{_httpClient.BaseAddress.AbsoluteUri}cdn/{version}/img/{path}"";"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,SummonMyStrength.Api\SummonMyStrength.Api.csproj,File,SummonMyStrength.Api\Connectors\DataDragonApiConnector.cs,83,8,P:System.Uri.AbsoluteUri,,,,,"return $""{_httpClient.BaseAddress.AbsoluteUri}cdn/{version}/img/{path}"";"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,SummonMyStrength.Api\SummonMyStrength.Api.csproj,File,SummonMyStrength.Api\Connectors\LeagueClientWebSocketConnector.cs,250,16,"M:System.Text.Json.JsonSerializer.Deserialize(System.Text.Json.JsonElement,System.Type,System.Text.Json.JsonSerializerOptions)",,,,,"messagePayload = JsonSerializer.Deserialize(eventBody, handler.PayloadType, _jsonOptions);"
